ID,Site_name,Start_date,End_date,True_date,Value
147,Site A,199,307,204,7.4
148,Site A,484,809,737,18.4
149,Site D,538,680,669,11.8
150,Site B,143,245,182,9.3
151,Site B,332,593,396,10.6
152,Site C,358,509,371,11.2
153,Site A,464,742,573,15.1
154,Site C,515,685,546,14.4
155,Site B,324,574,357,9.4
156,Site D,260,537,331,12.3
157,Site D,275,388,338,7.6
158,Site D,592,660,602,15.3
159,Site A,728,826,822,16.6
160,Site D,565,815,801,14.1
161,Site B,288,610,608,11.3
162,Site D,146,360,297,9.8
163,Site D,573,801,605,17.4
164,Site D,150,265,151,7.7
165,Site D,168,378,312,11.4
166,Site A,541,651,616,15.5
167,Site A,297,484,469,11.1
168,Site C,223,372,284,10.7
169,Site B,379,472,418,11.8
170,Site C,693,805,753,16.6
171,Site C,286,550,395,12.4
172,Site C,101,276,118,7.9
173,Site B,669,845,736,15.1
174,Site C,676,870,714,16.3
175,Site B,405,585,536,11.7
176,Site C,425,523,426,12.3
177,Site C,404,695,671,14.4
178,Site C,620,846,823,18
179,Site C,190,472,403,11.6
180,Site A,512,787,774,16.2
181,Site D,212,529,410,11.8
182,Site C,388,690,586,14.7
183,Site C,648,797,705,15.2
184,Site A,188,321,197,9.7
185,Site C,577,845,762,18.5
186,Site D,339,608,373,9.6
187,Site B,532,849,624,13.2
188,Site D,229,511,407,11.9
189,Site A,159,256,197,6.6
190,Site A,132,273,142,6.5
191,Site C,772,887,871,19.3
192,Site C,352,632,460,11
193,Site B,695,791,759,13.5
194,Site A,393,489,395,11.9
195,Site B,452,532,500,10.1
196,Site A,233,308,254,6.8
197,Site C,549,758,632,10
198,Site A,316,407,329,11.2
199,Site B,188,456,409,11.5
200,Site C,118,383,155,8
201,Site C,167,475,447,13
202,Site A,205,410,389,10.8
203,Site D,361,660,419,9.6
204,Site C,600,784,698,16.3
205,Site B,180,284,234,10.5
206,Site D,650,834,680,12.9
207,Site B,370,701,542,12.2
208,Site A,189,385,233,8.1
209,Site D,704,835,741,14.2
210,Site B,269,402,336,11.1
211,Site A,189,401,223,7.4
212,Site D,529,771,752,18.2
213,Site A,249,403,326,10
214,Site D,321,398,368,11.6
215,Site B,418,604,556,15.7
216,Site D,269,564,451,12.2
217,Site B,189,410,395,12.5
218,Site C,271,430,284,9.6
219,Site D,306,519,312,7.4
220,Site A,383,693,551,13.3
221,Site C,587,784,635,15.6
222,Site B,746,854,816,18
223,Site A,590,802,670,14.8
224,Site D,160,489,175,5.8
225,Site D,524,672,531,13.9
226,Site B,452,742,731,14.6
227,Site A,121,267,154,5.4
228,Site D,733,845,734,16.9
229,Site A,448,522,464,10.1
230,Site A,279,408,286,9.7
231,Site D,650,808,687,15.3
232,Site C,259,364,301,7.5
233,Site D,619,764,621,16.1
234,Site D,575,640,599,13.1
235,Site C,296,635,494,14.2
236,Site D,149,434,322,9.1
237,Site C,102,186,124,6
238,Site A,364,668,569,13.5
239,Site A,407,622,608,13.6
240,Site A,233,411,234,8
241,Site A,617,696,679,13.9
242,Site A,660,877,835,15.7
243,Site B,473,553,479,13.1
244,Site C,219,338,286,8.1
245,Site C,430,644,545,11.1
246,Site A,559,754,586,13
247,Site D,564,669,593,12.7
248,Site A,257,359,293,6.1
249,Site C,308,508,471,11.6
250,Site C,252,575,307,9.9
251,Site B,685,839,765,16.9
252,Site D,237,350,323,10.4
253,Site C,552,688,591,12.4
254,Site C,181,390,272,8.6
255,Site C,179,245,223,6.8
256,Site D,148,432,158,6.4
257,Site B,750,841,801,15.2
258,Site A,263,474,460,10.2
259,Site A,614,834,710,16.6
260,Site B,538,771,756,15.9
261,Site A,529,789,783,16.4
262,Site C,245,340,309,12.2
263,Site A,131,278,175,7.5
264,Site D,118,443,186,7
265,Site A,271,471,335,11.1
266,Site D,345,443,429,10.7
267,Site C,466,769,485,14.3
268,Site D,272,389,293,8.8
269,Site C,349,668,503,11.6
270,Site D,473,781,577,11.9
271,Site C,546,644,626,14.9
272,Site C,206,486,450,13.9
273,Site D,709,896,713,15.2
274,Site A,100,198,181,8.1
275,Site C,202,510,326,10.4
276,Site A,509,663,612,16.3
277,Site A,111,260,129,7.9
278,Site D,117,290,199,6.4
279,Site D,468,662,648,13.7
280,Site A,463,626,557,12.2
281,Site B,250,440,423,11.6
282,Site B,768,842,824,17.4
283,Site C,562,674,633,15
284,Site C,400,735,666,14
285,Site B,235,387,375,10.1
286,Site A,433,541,451,12.9
287,Site C,695,892,733,15.8
288,Site B,830,895,836,16.6
289,Site D,391,546,520,14.3
290,Site B,623,691,678,15.2
291,Site D,257,560,342,8.8
292,Site D,546,811,665,17.5
293,Site D,383,531,476,10.4
294,Site D,729,897,791,14.2
295,Site C,621,774,679,11.8
296,Site B,448,533,526,13.9
297,Site B,384,656,490,11.6
298,Site C,295,524,311,9.3
299,Site C,136,237,207,8.5
300,Site D,435,504,483,11.5
