ID,Site_name,Start_date,End_date,True_date,Value
216,Site A,650,774,671.2961823418736,13.2
217,Site D,350,650,486.4284893963486,15.5
218,Site B,650,775,746.275594929466,14
219,Site A,625,749,632.7685997951776,13.1
220,Site B,700,849,821.4471427688841,12.5
221,Site A,125,300,177.69994178088382,11
222,Site A,475,624,529.3359831699636,15.5
223,Site A,425,699,510.51890498865396,14.8
224,Site C,700,724,700.8968791570514,13.6
225,Site B,450,600,527.820738509763,17.4
226,Site B,500,650,601.8520123558119,15.8
227,Site D,225,375,360.4850340401754,15.1
228,Site B,650,725,651.9145023834426,14.7
229,Site A,550,724,722.0996191082522,14.4
230,Site A,325,749,453.42435282841325,14.2
231,Site C,400,525,517.3923000751529,16.7
232,Site B,225,500,414.09208497498184,13.5
233,Site B,100,250,167.05554922809824,7.2
234,Site C,350,525,492.88367428816855,16
235,Site C,400,625,408.88731951708905,17.1
236,Site A,325,475,435.85475282743573,15.9
237,Site C,400,775,530.7698101445567,17.4
238,Site D,450,774,718.6772668054327,14.4
239,Site B,500,550,526.7770695849322,14.8
240,Site D,450,499,463.4527228171937,15
241,Site A,275,900,775.592632452026,12.8
242,Site C,175,299,186.36394215468317,9
243,Site C,225,500,453.82963790907525,16.1
244,Site B,325,550,387.292391306255,11.9
245,Site D,575,775,725.6220199167728,15
246,Site D,675,874,866.8663614529651,13.6
247,Site D,700,875,714.2566480033565,12.1
248,Site C,675,749,738.2229912397452,14.6
249,Site A,475,699,654.7013606280088,18.1
250,Site A,375,399,384.24416651017964,12.8
251,Site A,475,600,515.949674876174,17.1
252,Site B,550,700,580.7408054475673,14
253,Site A,150,375,278.1110990967136,13.2
254,Site C,675,725,719.4027595221996,14.2
255,Site B,600,750,679.457113717217,16.7
256,Site D,250,749,542.8923697362188,13.4
257,Site C,150,675,499.5109498326201,15.9
258,Site A,325,750,550.2042948966846,14.7
259,Site A,600,625,612.7460724848788,14.6
260,Site D,325,549,328.6199477240443,11.6
261,Site A,250,474,260.68703662604094,10
262,Site A,550,699,688.4732516976073,15
263,Site A,400,599,553.0878222011961,13.8
264,Site D,325,374,334.85295018879697,14.9
265,Site B,650,775,731.2826875480823,11.9
266,Site C,425,525,490.3766682371497,16
267,Site D,675,750,704.644032107899,14.8
268,Site C,675,775,756.2304828548804,14.3
269,Site D,350,675,527.7826107398141,15.3
270,Site C,400,625,599.1548465972301,15.1
271,Site A,150,424,301.6080325921066,13.5
272,Site A,325,400,392.9536083713174,11.7
273,Site D,550,725,652.8057392279152,13.3
274,Site A,125,375,230.86591274477541,11.1
275,Site B,250,549,533.9260115737561,15
276,Site C,575,649,627.4688048562966,16.8
277,Site D,600,674,630.5846001985483,15.7
278,Site C,600,775,603.213714651065,15.1
279,Site A,350,600,491.68352069100365,13.6
280,Site C,350,650,497.01903592795134,16
281,Site D,100,224,208.95557863172144,9.7
282,Site B,600,625,620.3213171975221,14.6
283,Site C,225,600,545.2874915732536,13.8
284,Site D,650,800,705.1843921653926,14.7
285,Site B,325,600,565.3362260316499,13.8
286,Site C,300,375,311.3503628585022,11.9
287,Site C,375,550,424.3170421977993,15.1
288,Site A,400,725,616.679176298203,13.7
289,Site A,525,650,647.172947099898,15.4
290,Site A,450,749,624.2391812589485,12.8
291,Site C,600,700,652.6590079534799,10.3
292,Site B,100,425,119.75422308314592,9.1
293,Site A,350,400,398.4519431833178,15.2
294,Site C,275,524,304.9390450154897,11.7
295,Site D,400,624,419.7933794260025,15.2
296,Site D,425,524,512.1956473754253,14.1
297,Site C,125,249,188.03795808833092,9.6
298,Site A,225,575,343.12324905768037,10
299,Site A,400,575,556.5085594542325,17.2
300,Site D,150,449,159.55951679567806,12
