Year,True_value
419,14.379999999999999
420,14.4
421,14.42
422,14.440000000000001
423,14.46
424,14.48
425,14.5
426,14.52
427,14.54
428,14.56
429,14.58
430,14.600000000000001
431,14.620000000000001
432,14.64
433,14.66
434,14.68
435,14.7
436,14.719999999999999
437,14.74
438,14.76
439,14.780000000000001
440,14.8
441,14.82
442,14.84
443,14.86
444,14.879999999999999
445,14.9
446,14.92
447,14.940000000000001
448,14.96
449,14.98
450,15
451,15.02
452,15.04
453,15.06
454,15.08
455,15.100000000000001
456,15.120000000000001
457,15.14
458,15.16
459,15.18
460,15.2
461,15.219999999999999
462,15.24
463,15.26
464,15.280000000000001
465,15.3
466,15.32
467,15.34
468,15.36
469,15.379999999999999
470,15.4
471,15.42
472,15.440000000000001
473,15.46
474,15.48
475,15.5
476,15.52
477,15.54
478,15.56
479,15.58
480,15.600000000000001
481,15.620000000000001
482,15.64
483,15.66
484,15.68
485,15.7
486,15.719999999999999
487,15.74
488,15.76
489,15.780000000000001
490,15.8
491,15.82
492,15.84
493,15.86
494,15.879999999999999
495,15.9
496,15.92
497,15.940000000000001
498,15.96
499,15.98
500,16
501,15.99
502,15.98
503,15.97
504,15.96
505,15.95
506,15.94
507,15.93
508,15.92
509,15.91
510,15.9
511,15.89
512,15.88
513,15.87
514,15.86
515,15.85
516,15.84
517,15.83
518,15.82
519,15.81
520,15.8
521,15.79
522,15.78
523,15.77
524,15.76
525,15.75
526,15.74
527,15.73
528,15.72
529,15.71
530,15.7
531,15.69
532,15.68
533,15.67
534,15.66
535,15.65
536,15.64
537,15.63
538,15.62
539,15.61
540,15.6
541,15.59
542,15.58
543,15.57
544,15.56
545,15.55
546,15.54
547,15.53
548,15.52
549,15.51
550,15.5
551,15.49
552,15.48
553,15.47
554,15.46
555,15.45
556,15.44
557,15.43
558,15.42
559,15.41
560,15.4
561,15.39
562,15.38
563,15.37
564,15.36
565,15.35
566,15.34
567,15.33
568,15.32
569,15.31
570,15.3
571,15.29
572,15.28
573,15.27
574,15.26
575,15.25
576,15.24
577,15.23
578,15.22
579,15.21
580,15.2
581,15.19
582,15.18
583,15.17
584,15.16
585,15.15
586,15.14
587,15.13
588,15.12
589,15.11
590,15.1
591,15.09
592,15.08
593,15.07
594,15.06
595,15.05
596,15.04
597,15.03
598,15.02
599,15.01
600,15
601,14.99
602,14.98
603,14.97
604,14.96
605,14.95
606,14.94
607,14.93
608,14.92
609,14.91
610,14.9
611,14.89
612,14.879999999999999
613,14.87
614,14.86
615,14.85
616,14.84
617,14.83
618,14.82
619,14.81
620,14.8
621,14.79
622,14.78
623,14.77
624,14.76
625,14.75
626,14.74
627,14.73
628,14.72
629,14.71
630,14.7
631,14.69
632,14.68
633,14.67
634,14.66
635,14.65
636,14.64
637,14.629999999999999
638,14.62
639,14.61
640,14.6
641,14.59
642,14.58
643,14.57
644,14.56
645,14.55
646,14.54
647,14.53
648,14.52
649,14.51
650,14.5
651,14.49
652,14.48
653,14.47
654,14.46
655,14.45
656,14.44
657,14.43
658,14.42
659,14.41
660,14.4
661,14.39
662,14.379999999999999
663,14.37
664,14.36
665,14.35
666,14.34
667,14.33
668,14.32
669,14.31
670,14.3
671,14.29
672,14.28
673,14.27
674,14.26
675,14.25
676,14.24
677,14.23
678,14.22
679,14.21
680,14.2
681,14.19
682,14.18
683,14.17
684,14.16
685,14.15
686,14.14
687,14.129999999999999
688,14.12
689,14.11
690,14.1
691,14.09
692,14.08
693,14.07
694,14.06
695,14.05
696,14.04
697,14.03
698,14.02
699,14.01
700,14
701,13.99
702,13.98
703,13.969999999999999
704,13.96
705,13.95
706,13.94
707,13.93
708,13.92
709,13.91
710,13.9
711,13.89
712,13.879999999999999
713,13.870000000000001
714,13.86
715,13.85
716,13.84
717,13.83
718,13.82
719,13.81
720,13.8
721,13.79
722,13.78
723,13.77
724,13.76
725,13.75
726,13.74
727,13.73
728,13.719999999999999
729,13.71
730,13.7
731,13.69
732,13.68
733,13.67
734,13.66
735,13.65
736,13.64
737,13.629999999999999
738,13.620000000000001
739,13.61
740,13.6
741,13.59
742,13.58
743,13.57
744,13.56
745,13.55
746,13.54
747,13.53
748,13.52
749,13.51
750,13.5
751,13.49
752,13.48
753,13.469999999999999
754,13.46
755,13.45
756,13.44
757,13.43
758,13.42
759,13.41
760,13.4
761,13.39
762,13.379999999999999
763,13.370000000000001
764,13.36
765,13.35
766,13.34
767,13.33
768,13.32
769,13.31
770,13.3
771,13.29
772,13.28
773,13.27
774,13.26
775,13.25
776,13.24
777,13.23
778,13.219999999999999
779,13.21
780,13.2
781,13.19
782,13.18
783,13.17
784,13.16
785,13.15
786,13.14
787,13.129999999999999
788,13.120000000000001
789,13.11
790,13.1
791,13.09
792,13.08
793,13.07
794,13.06
795,13.05
796,13.04
797,13.03
798,13.02
799,13.01
800,13
801,12.99
802,12.98
803,12.969999999999999
804,12.96
805,12.95
806,12.94
807,12.93
808,12.92
809,12.91
810,12.9
811,12.89
812,12.879999999999999
813,12.870000000000001
814,12.86
815,12.85
816,12.84
817,12.83
818,12.82
819,12.81
820,12.8
821,12.79
822,12.78
823,12.77
824,12.76
825,12.75
826,12.74
827,12.73
828,12.719999999999999
829,12.71
830,12.7
831,12.69
832,12.68
833,12.67
834,12.66
835,12.65
836,12.64
837,12.629999999999999
838,12.620000000000001
839,12.61
840,12.6
841,12.59
842,12.58
843,12.57
844,12.56
845,12.55
846,12.54
847,12.53
848,12.52
849,12.51
850,12.5
851,12.49
852,12.48
853,12.469999999999999
854,12.46
855,12.45
856,12.44
857,12.43
858,12.42
859,12.41
860,12.4
861,12.39
862,12.379999999999999
863,12.370000000000001
864,12.36
865,12.35
866,12.34
867,12.33
868,12.32
869,12.31
870,12.3
871,12.29
872,12.28
873,12.27
874,12.26
875,12.25
876,12.24
877,12.23
878,12.219999999999999
879,12.21
880,12.2
881,12.19
882,12.18
883,12.17
884,12.16
885,12.15
886,12.14
887,12.129999999999999
888,12.120000000000001
889,12.11
890,12.1
891,12.09
892,12.08
893,12.07
894,12.06
895,12.05
896,12.04
897,12.03
898,12.02
899,12.01
900,12
