"rep","period_span","rise_level","dataset_id","seed","N","period_start","period_end","intercept","sigma","rise","slope","time_ref_min","time_ref_range","mean_width","coarseness"
35,200,4,35,35,200,100,300,9.61950431135483,1.89703872043174,1.4844495523721,0.00742224776186049,-100,600,125,0.625
36,200,4,36,36,200,100,300,7.53563956916332,0.740402688737959,-1.61110126413405,-0.00805550632067025,-100,600,125,0.625
37,200,4,37,37,200,100,300,4.73638270911761,2.66509102517739,3.18431100621819,0.015921555031091,-100,600,125,0.625
38,200,4,38,38,200,100,300,8.20360140851699,1.15861674002372,-1.9127858504653,-0.00956392925232649,-100,600,125,0.625
39,200,4,39,39,200,100,300,11.8127025738358,3.17868803499732,3.49684162810445,0.0174842081405222,-100,600,125,0.625
40,200,4,40,40,200,100,300,7.80878063850105,3.90381213475484,3.26418397761881,0.0163209198880941,-100,600,125,0.625
41,200,4,41,41,200,100,300,6.82562342658639,3.72521743772086,-1.45386425964534,-0.00726932129822671,-100,600,125,0.625
42,200,4,42,42,200,100,300,13.3721192597877,1.37558646104299,2.56027838401496,0.0128013919200748,-100,600,125,0.625
43,200,4,43,43,200,100,300,7.64976499555632,0.79686020151712,-0.923772651702166,-0.00461886325851083,-100,600,125,0.625
44,200,4,44,44,200,100,300,7.72177809500135,3.00963245565072,2.20978900976479,0.011048945048824,-100,600,125,0.625
45,200,4,45,45,200,100,300,3.06543883378617,1.46041306050029,2.85787664726377,0.0142893832363188,-100,600,125,0.625
46,200,4,46,46,200,100,300,2.45005094446242,2.24979276012164,-2.55164631269872,-0.0127582315634936,-100,600,125,0.625
47,200,4,47,47,200,100,300,14.072475762805,3.84733525488991,-1.6495770663023,-0.0082478853315115,-100,600,125,0.625
48,200,4,48,48,200,100,300,5.82936186366715,1.47284930222668,3.00481428392231,0.0150240714196116,-100,600,125,0.625
49,200,4,49,49,200,100,300,8.74991573719308,2.02211556525435,1.65647344663739,0.00828236723318696,-100,600,125,0.625
50,200,4,50,50,200,100,300,5.07315352419391,1.87593641190324,1.28506563417614,0.00642532817088068,-100,600,125,0.625
51,200,4,51,51,200,100,300,14.6335275121965,3.80998229084071,-0.750555031001568,-0.00375277515500784,-100,600,125,0.625
52,200,4,52,52,200,100,300,10.2226495156065,3.70835097064264,-1.34108286164701,-0.00670541430823505,-100,600,125,0.625
53,200,4,53,53,200,100,300,14.4574991557747,1.24283830425702,-2.02355402335525,-0.0101177701167762,-100,600,125,0.625
54,200,4,54,54,200,100,300,13.5226017255336,1.96617777668871,3.3578339908272,0.016789169954136,-100,600,125,0.625
55,200,4,55,55,200,100,300,8.80138892843388,3.58376003056765,0.1855099927634,0.000927549963817,-100,600,125,0.625
56,200,4,56,56,200,100,300,11.3069032458588,3.29870146175381,2.60003593936563,0.0130001796968281,-100,600,125,0.625
57,200,4,57,57,200,100,300,11.628355528228,1.18252656538971,-0.484142048284411,-0.00242071024142206,-100,600,125,0.625
58,200,4,58,58,200,100,300,2.59665221022442,3.39903616998345,2.5282657109201,0.0126413285546005,-100,600,125,0.625
59,200,4,59,59,200,100,300,14.4513078790624,1.17276515322737,-1.29304570145905,-0.00646522850729525,-100,600,125,0.625
60,200,4,60,60,200,100,300,4.61477688048035,0.976122996187769,-2.70155975408852,-0.0135077987704426,-100,600,125,0.625
61,200,4,61,61,200,100,300,5.87938457680866,2.6567921115784,-1.76991381309927,-0.00884956906549633,-100,600,125,0.625
62,200,4,62,62,200,100,300,13.6424446862657,2.07119367644191,-3.1643604002893,-0.0158218020014465,-100,600,125,0.625
63,200,4,63,63,200,100,300,9.35898503661156,1.87102131999563,2.06834661774337,0.0103417330887169,-100,600,125,0.625
64,200,4,64,64,200,100,300,7.92160380003043,3.32448766974267,-0.125978069379926,-0.000629890346899629,-100,600,125,0.625
65,200,4,65,65,200,100,300,7.19308796874247,0.965455334633589,3.70026677846909,0.0185013338923454,-100,600,125,0.625
66,200,4,66,66,200,100,300,3.07906539528631,1.18006475747097,-1.65266820974648,-0.0082633410487324,-100,600,125,0.625
67,200,4,67,67,200,100,300,10.1945592346601,0.970186671474949,-1.22577320598066,-0.00612886602990329,-100,600,125,0.625
68,200,4,68,68,200,100,300,8.04623486823402,0.929544233251363,-2.23223369568586,-0.0111611684784293,-100,600,125,0.625
69,200,4,69,69,200,100,300,9.44091996899806,2.67339397093747,-3.05627785250545,-0.0152813892625272,-100,600,125,0.625
70,200,4,70,70,200,100,300,10.6090120126028,3.08562481834088,-3.78703630156815,-0.0189351815078408,-100,600,125,0.625
71,200,4,71,71,200,100,300,13.412807459943,0.985829904908314,-2.53260229900479,-0.012663011495024,-100,600,125,0.625
72,200,4,72,72,200,100,300,6.92618083278649,1.4410845907405,3.76960449106991,0.0188480224553496,-100,600,125,0.625
73,200,4,73,73,200,100,300,11.4064660642762,3.45884780108463,0.626264225691557,0.00313132112845778,-100,600,125,0.625
74,200,4,74,74,200,100,300,13.1521532656625,3.89800015510991,1.58114203065634,0.00790571015328169,-100,600,125,0.625
75,200,4,75,75,200,100,300,4.42132153874263,3.65757499448955,0.0501600131392479,0.000250800065696239,-100,600,125,0.625
76,200,4,76,76,200,100,300,10.2250755883288,0.50284490804188,-1.95913904719055,-0.00979569523595273,-100,600,125,0.625
77,200,4,77,77,200,100,300,11.3355057185981,0.898053998826072,-2.88255984894931,-0.0144127992447466,-100,600,125,0.625
78,200,4,78,78,200,100,300,9.04348585219122,2.65923020732589,3.56949543207884,0.0178474771603942,-100,600,125,0.625
79,200,4,79,79,200,100,300,4.6612637785729,0.640215818537399,0.716842466965318,0.00358421233482659,-100,600,125,0.625
80,200,4,80,80,200,100,300,13.6998568524141,3.7356399865821,-0.645505985245109,-0.00322752992622554,-100,600,125,0.625
81,200,4,81,81,200,100,300,3.60659627895802,0.549257725710049,-0.318415649235249,-0.00159207824617624,-100,600,125,0.625
82,200,4,82,82,200,100,300,14.3701103019994,3.66477478889283,0.43826350569725,0.00219131752848625,-100,600,125,0.625
83,200,4,83,83,200,100,300,12.1622966381256,3.23815861844923,0.983902996405959,0.0049195149820298,-100,600,125,0.625
84,200,4,84,84,200,100,300,14.5077675420325,3.27084035647567,1.31813649646938,0.00659068248234689,-100,600,125,0.625
85,200,4,85,85,200,100,300,3.48527506017126,0.986002745921724,-0.357350507751107,-0.00178675253875554,-100,600,125,0.625
86,200,4,86,86,200,100,300,14.7081778096035,3.68560442293528,1.08660154603422,0.00543300773017108,-100,600,125,0.625
87,200,4,87,87,200,100,300,10.0661035222001,3.45825573103502,-3.42664213851094,-0.0171332106925547,-100,600,125,0.625
88,200,4,88,88,200,100,300,14.0565544522833,1.36513602361083,1.8251575101167,0.00912578755058348,-100,600,125,0.625
89,200,4,89,89,200,100,300,4.62907726783305,1.95836309320293,3.32935402914882,0.0166467701457441,-100,600,125,0.625
90,200,4,90,90,200,100,300,4.80187936290167,1.17966735246591,0.737907182425261,0.0036895359121263,-100,600,125,0.625
91,200,4,91,91,200,100,300,13.9850278955419,0.816188621567562,3.31475986354053,0.0165737993177027,-100,600,125,0.625
92,200,4,92,92,200,100,300,11.3875021615531,2.76724668848328,0.0739145018160343,0.000369572509080172,-100,600,125,0.625
93,200,4,93,93,200,100,300,11.9021180476993,1.16666969098151,0.132330860942602,0.000661654304713011,-100,600,125,0.625
94,200,4,94,94,200,100,300,5.7086068589706,1.03894502506591,-1.81254221871495,-0.00906271109357476,-100,600,125,0.625
95,200,4,95,95,200,100,300,6.46756545035169,2.31584297074005,3.51847465150058,0.0175923732575029,-100,600,125,0.625
96,200,4,96,96,200,100,300,6.43811441469006,3.21987913886551,-3.69553306885064,-0.0184776653442532,-100,600,125,0.625
97,200,4,97,97,200,100,300,12.2434773589484,3.92352416424546,2.5670503526926,0.012835251763463,-100,600,125,0.625
98,200,4,98,98,200,100,300,6.73849988379516,1.10546210908797,-1.79022487998009,-0.00895112439990044,-100,600,125,0.625
99,200,4,99,99,200,100,300,10.646593216341,2.75859814789146,-2.72985354997218,-0.0136492677498609,-100,600,125,0.625
100,200,4,100,100,200,100,300,6.84655288071372,3.00476920651272,1.62593551725149,0.00812967758625746,-100,600,125,0.625
1,400,4,101,101,200,100,500,3.57327130157501,0.689763374975882,2.3970243036747,0.00599256075918674,-100,800,125,0.3125
2,400,4,102,102,200,100,500,12.80100476183,3.64040614303667,1.96243794821203,0.00490609487053007,-100,800,125,0.3125
3,400,4,103,103,200,100,500,7.43812467041425,1.57680497993715,-2.94116815924644,-0.00735292039811611,-100,800,125,0.3125
4,400,4,104,104,200,100,500,3.066407360835,1.32435559225269,0.863834099844098,0.00215958524961025,-100,800,125,0.3125
5,400,4,105,105,200,100,500,4.28835874493234,0.905566289788112,-1.05691098235548,-0.00264227745588869,-100,800,125,0.3125
6,400,4,106,106,200,100,500,4.35249478323385,3.09820296801627,-2.33707805350423,-0.00584269513376057,-100,800,125,0.3125
7,400,4,107,107,200,100,500,10.7545581848826,0.997243310906924,1.49521462246776,0.00373803655616939,-100,800,125,0.3125
8,400,4,108,108,200,100,500,9.89094123872928,1.60385086177848,2.97970791906118,0.00744926979765296,-100,800,125,0.3125
9,400,4,109,109,200,100,500,5.37384198186919,3.20277937932406,3.27718491107225,0.00819296227768064,-100,800,125,0.3125
10,400,4,110,110,200,100,500,9.67471839534119,1.19860371330287,3.53293184190989,0.00883232960477471,-100,800,125,0.3125
11,400,4,111,111,200,100,500,7.31041180389002,1.65883898187894,-2.22745170630515,-0.00556862926576287,-100,800,125,0.3125
12,400,4,112,112,200,100,500,13.2635757036041,1.97712963144295,-1.95105754584074,-0.00487764386460185,-100,800,125,0.3125
13,400,4,113,113,200,100,500,3.40609176596627,3.50769669597503,0.744622061029077,0.00186155515257269,-100,800,125,0.3125
14,400,4,114,114,200,100,500,6.18456917395815,3.54210796381813,3.38576411269605,0.00846441028174013,-100,800,125,0.3125
15,400,4,115,115,200,100,500,4.18773525767028,2.58570199052338,3.07130414247513,0.00767826035618782,-100,800,125,0.3125
16,400,4,116,116,200,100,500,2.67053891299292,1.94147795578465,1.63037941604853,0.00407594854012132,-100,800,125,0.3125
17,400,4,117,117,200,100,500,9.19265862833709,2.32008922100067,0.120000375434756,0.000300000938586891,-100,800,125,0.3125
18,400,4,118,118,200,100,500,3.84497504122555,3.64493367727846,-3.84677692130208,-0.0096169423032552,-100,800,125,0.3125
19,400,4,119,119,200,100,500,4.06549947056919,3.82817151129711,-3.71128035709262,-0.00927820089273155,-100,800,125,0.3125
20,400,4,120,120,200,100,500,12.1245171760675,3.83685231162235,0.341090070083737,0.000852725175209343,-100,800,125,0.3125
21,400,4,121,121,200,100,500,7.76873775478452,1.54035172890872,2.59177136421204,0.00647942841053009,-100,800,125,0.3125
22,400,4,122,122,200,100,500,3.70979249640368,0.528719298774377,-3.50407084077597,-0.00876017710193992,-100,800,125,0.3125
23,400,4,123,123,200,100,500,9.3637818582356,2.70018491882365,1.85964627936482,0.00464911569841206,-100,800,125,0.3125
24,400,4,124,124,200,100,500,12.0604547888506,2.11402403959073,-0.0836864598095417,-0.000209216149523854,-100,800,125,0.3125
25,400,4,125,125,200,100,500,7.47578272456303,3.9988898485899,2.60116083920002,0.00650290209800005,-100,800,125,0.3125
26,400,4,126,126,200,100,500,2.79079757118598,2.4125483216485,-1.64038584008813,-0.00410096460022032,-100,800,125,0.3125
27,400,4,127,127,200,100,500,7.01080362871289,1.76392149704043,-0.165869612246752,-0.000414674030616879,-100,800,125,0.3125
28,400,4,128,128,200,100,500,8.01126649673097,1.42244639794808,-2.38770093582571,-0.00596925233956426,-100,800,125,0.3125
29,400,4,129,129,200,100,500,2.53850980778225,3.8708561649546,3.11131603457034,0.00777829008642584,-100,800,125,0.3125
30,400,4,130,130,200,100,500,7.33943349123001,3.87013493129052,2.8855669554323,0.00721391738858074,-100,800,125,0.3125
31,400,4,131,131,200,100,500,7.10290329460986,0.697506268392317,0.540617471560836,0.00135154367890209,-100,800,125,0.3125
32,400,4,132,132,200,100,500,10.3506394189317,3.70515637693461,0.500476682558656,0.00125119170639664,-100,800,125,0.3125
33,400,4,133,133,200,100,500,2.46716654486954,2.62953465618193,0.153394997119904,0.000383487492799759,-100,800,125,0.3125
34,400,4,134,134,200,100,500,3.20958196395077,0.908766851061955,-3.93930638954043,-0.00984826597385108,-100,800,125,0.3125
35,400,4,135,135,200,100,500,13.3813914116472,1.5224066383671,-0.264350134879351,-0.000660875337198377,-100,800,125,0.3125
36,400,4,136,136,200,100,500,2.05457367701456,2.05254071101081,-1.29163769632578,-0.00322909424081445,-100,800,125,0.3125
37,400,4,137,137,200,100,500,4.0520938381087,0.723745200550184,3.91649864427745,0.00979124661069363,-100,800,125,0.3125
38,400,4,138,138,200,100,500,8.60709255747497,3.95499251433648,1.66459558531642,0.00416148896329105,-100,800,125,0.3125
39,400,4,139,139,200,100,500,9.26584952767007,1.4383464542916,2.37332222610712,0.0059333055652678,-100,800,125,0.3125
40,400,4,140,140,200,100,500,6.37373711937107,3.5411724364385,1.45747903361917,0.00364369758404791,-100,800,125,0.3125
41,400,4,141,141,200,100,500,11.077806224348,3.96490737842396,-3.93782446347177,-0.00984456115867943,-100,800,125,0.3125
42,400,4,142,142,200,100,500,5.70148813794367,2.56530452053994,-1.01642610877752,-0.00254106527194381,-100,800,125,0.3125
43,400,4,143,143,200,100,500,8.52819379139692,1.9832933943253,-1.40128998272121,-0.00350322495680302,-100,800,125,0.3125
44,400,4,144,144,200,100,500,10.339788364945,3.27049751277082,2.04087578319013,0.00510218945797533,-100,800,125,0.3125
45,400,4,145,145,200,100,500,13.8431721501984,1.50105343700852,2.21990978531539,0.00554977446328849,-100,800,125,0.3125
46,400,4,146,146,200,100,500,2.97133137146011,3.0065673335921,2.86224504560232,0.0071556126140058,-100,800,125,0.3125
47,400,4,147,147,200,100,500,4.58034717920236,3.48887722787913,-1.87718452326953,-0.00469296130817384,-100,800,125,0.3125
48,400,4,148,148,200,100,500,10.2916780253872,2.30581366922706,-0.113812932744622,-0.000284532331861556,-100,800,125,0.3125
49,400,4,149,149,200,100,500,10.7263938533142,1.35279224696569,-2.37084993161261,-0.00592712482903153,-100,800,125,0.3125
50,400,4,150,150,200,100,500,2.72848026640713,1.05119849939365,0.667694412171841,0.0016692360304296,-100,800,125,0.3125
51,400,4,151,151,200,100,500,4.13521856558509,2.57660302217118,-2.25307769887149,-0.00563269424717873,-100,800,125,0.3125
52,400,4,152,152,200,100,500,2.63066392275505,2.82759085902944,1.41470765136182,0.00353676912840456,-100,800,125,0.3125
53,400,4,153,153,200,100,500,14.781410854077,2.63614695542492,1.11024422571063,0.00277561056427658,-100,800,125,0.3125
54,400,4,154,154,200,100,500,8.96108797402121,1.72262262983713,3.16188341751695,0.00790470854379237,-100,800,125,0.3125
55,400,4,155,155,200,100,500,11.8043245654553,1.68160200293642,-1.61135226674378,-0.00402838066685945,-100,800,125,0.3125
56,400,4,156,156,200,100,500,11.606367956847,2.21653975418303,0.206752125173807,0.000516880312934518,-100,800,125,0.3125
57,400,4,157,157,200,100,500,6.75358953303657,1.73679117613938,-0.0309994127601385,-7.74985319003463e-05,-100,800,125,0.3125
58,400,4,158,158,200,100,500,11.0627267996315,3.44851948076393,2.36777576617897,0.00591943941544741,-100,800,125,0.3125
59,400,4,159,159,200,100,500,12.1896976747084,3.83224311063532,-0.425144478678703,-0.00106286119669676,-100,800,125,0.3125
60,400,4,160,160,200,100,500,2.34964179084636,3.89786206744611,2.99157274514437,0.00747893186286092,-100,800,125,0.3125
61,400,4,161,161,200,100,500,3.61105120251887,2.02709995524492,-0.481596572324634,-0.00120399143081158,-100,800,125,0.3125
62,400,4,162,162,200,100,500,8.5700995514635,1.07007470540702,2.43013007752597,0.00607532519381493,-100,800,125,0.3125
63,400,4,163,163,200,100,500,14.1464189940598,3.94816189818084,-1.60916485078633,-0.00402291212696582,-100,800,125,0.3125
64,400,4,164,164,200,100,500,3.46660254732706,2.8482464394765,2.97708531655371,0.00744271329138428,-100,800,125,0.3125
65,400,4,165,165,200,100,500,3.61126750055701,1.96827760280576,-2.27667040936649,-0.00569167602341622,-100,800,125,0.3125
66,400,4,166,166,200,100,500,6.92131259385496,2.9368528224295,0.295957224443555,0.000739893061108887,-100,800,125,0.3125
67,400,4,167,167,200,100,500,2.77684864355251,1.90739383327309,3.49669298902154,0.00874173247255385,-100,800,125,0.3125
68,400,4,168,168,200,100,500,7.82895530294627,1.05749252275564,-0.673787547275424,-0.00168446886818856,-100,800,125,0.3125
69,400,4,169,169,200,100,500,8.2136162458919,1.44607595389243,2.49870388954878,0.00624675972387195,-100,800,125,0.3125
70,400,4,170,170,200,100,500,3.28106926917098,1.41268831060734,0.340737687423825,0.000851844218559563,-100,800,125,0.3125
71,400,4,171,171,200,100,500,12.4274701299146,0.506827807170339,0.42945596203208,0.0010736399050802,-100,800,125,0.3125
72,400,4,172,172,200,100,500,11.4479251899756,0.841935347300023,1.7698239274323,0.00442455981858075,-100,800,125,0.3125
73,400,4,173,173,200,100,500,8.44245080463588,0.600606721825898,0.442166604101658,0.00110541651025414,-100,800,125,0.3125
74,400,4,174,174,200,100,500,12.1920766504481,1.4185957639711,-3.14532488957047,-0.00786331222392619,-100,800,125,0.3125
75,400,4,175,175,200,100,500,4.90593560575508,2.11588500579819,0.72368386387825,0.00180920965969563,-100,800,125,0.3125
76,400,4,176,176,200,100,500,9.42148980614729,1.61877027992159,-2.52584046684206,-0.00631460116710514,-100,800,125,0.3125
77,400,4,177,177,200,100,500,13.4421117443126,1.30455357581377,3.74103584885597,0.00935258962213993,-100,800,125,0.3125
78,400,4,178,178,200,100,500,14.221538517857,1.55104161787312,2.15480264276266,0.00538700660690665,-100,800,125,0.3125
79,400,4,179,179,200,100,500,14.8975665448233,3.79293655883521,-1.12932091392577,-0.00282330228481442,-100,800,125,0.3125
80,400,4,180,180,200,100,500,8.82354113040492,1.2794248732971,2.9038739297539,0.00725968482438475,-100,800,125,0.3125
81,400,4,181,181,200,100,500,2.32610418996774,2.70892131130677,-3.00447844341397,-0.00751119610853493,-100,800,125,0.3125
82,400,4,182,182,200,100,500,5.52060471219011,2.99342553538736,3.78597822971642,0.00946494557429105,-100,800,125,0.3125
83,400,4,183,183,200,100,500,14.0861517186277,1.57698688679375,0.23868958465755,0.000596723961643875,-100,800,125,0.3125
84,400,4,184,184,200,100,500,10.1862269218545,0.920474621118046,-2.29114652983844,-0.00572786632459611,-100,800,125,0.3125
85,400,4,185,185,200,100,500,6.1266529369168,3.47327207587659,1.70857900194824,0.00427144750487059,-100,800,125,0.3125
86,400,4,186,186,200,100,500,5.40837307786569,0.663975531468168,3.47750270366669,0.00869375675916672,-100,800,125,0.3125
87,400,4,187,187,200,100,500,12.877695266623,1.32208204094786,0.419083435088396,0.00104770858772099,-100,800,125,0.3125
88,400,4,188,188,200,100,500,3.86006877967156,2.24686468590517,0.12667696736753,0.000316692418418825,-100,800,125,0.3125
89,400,4,189,189,200,100,500,2.44263956532814,2.48453186138067,-1.2859728243202,-0.00321493206080049,-100,800,125,0.3125
90,400,4,190,190,200,100,500,7.34590283082798,3.50461552676279,-3.68061305955052,-0.00920153264887631,-100,800,125,0.3125
91,400,4,191,191,200,100,500,7.16355225536972,3.0887005594559,2.44598701223731,0.00611496753059328,-100,800,125,0.3125
92,400,4,192,192,200,100,500,3.29935010825284,0.677719935658388,-1.87169143185019,-0.00467922857962549,-100,800,125,0.3125
93,400,4,193,193,200,100,500,4.1946383616887,2.30813771300018,3.48844817280769,0.00872112043201923,-100,800,125,0.3125
94,400,4,194,194,200,100,500,13.8860433106311,3.8808761194814,-1.26069711335003,-0.00315174278337508,-100,800,125,0.3125
95,400,4,195,195,200,100,500,6.05551029625349,1.93088534311391,0.17096552439034,0.00042741381097585,-100,800,125,0.3125
96,400,4,196,196,200,100,500,5.95683184475638,2.16374062735122,-0.476394174620509,-0.00119098543655127,-100,800,125,0.3125
97,400,4,197,197,200,100,500,3.8287602129858,1.87672315025702,3.75009298697114,0.00937523246742785,-100,800,125,0.3125
98,400,4,198,198,200,100,500,9.17115096189082,3.22242572891992,1.59572475031018,0.00398931187577546,-100,800,125,0.3125
99,400,4,199,199,200,100,500,10.3732331369538,1.7335912398994,-3.36306415125728,-0.00840766037814319,-100,800,125,0.3125
100,400,4,200,200,200,100,500,4.51351727521978,1.96291982394177,-1.43526962958276,-0.00358817407395691,-100,800,125,0.3125
1,800,4,201,201,200,100,900,13.5447577231098,3.75044828315731,-2.30121537670493,-0.00287651922088116,-100,1200,125,0.15625
2,800,4,202,202,200,100,900,10.1953702925239,0.723956127068959,-1.05142506584525,-0.00131428133230656,-100,1200,125,0.15625
3,800,4,203,203,200,100,900,6.03920976119116,2.26945526525378,2.96385679021478,0.00370482098776847,-100,1200,125,0.15625
4,800,4,204,204,200,100,900,14.5217984959017,2.51758011372294,0.4077970944345,0.000509746368043125,-100,1200,125,0.15625
5,800,4,205,205,200,100,900,7.32878838363104,1.12653298908845,-1.72836324386299,-0.00216045405482873,-100,1200,125,0.15625
6,800,4,206,206,200,100,900,11.7256893669255,2.05166696908418,3.80649142898619,0.00475811428623274,-100,1200,125,0.15625
7,800,4,207,207,200,100,900,3.7308793773409,1.54224760329816,3.00802926160395,0.00376003657700494,-100,1200,125,0.15625
8,800,4,208,208,200,100,900,14.6011816435494,0.577038315706886,-0.944230064749718,-0.00118028758093715,-100,1200,125,0.15625
9,800,4,209,209,200,100,900,12.9243468437344,1.04013624996878,-1.96895031630993,-0.00246118789538741,-100,1200,125,0.15625
10,800,4,210,210,200,100,900,9.47050741943531,3.74498769559432,-2.94561218842864,-0.0036820152355358,-100,1200,125,0.15625
11,800,4,211,211,200,100,900,11.2674880535342,2.83952016325202,3.12131328135729,0.00390164160169661,-100,1200,125,0.15625
12,800,4,212,212,200,100,900,3.9177703531459,3.23528379679192,-0.982784615829587,-0.00122848076978698,-100,1200,125,0.15625
13,800,4,213,213,200,100,900,2.76538916374557,1.84838596230838,-1.18441155180335,-0.00148051443975419,-100,1200,125,0.15625
14,800,4,214,214,200,100,900,2.96097336476669,2.30018658551853,3.88775179348886,0.00485968974186108,-100,1200,125,0.15625
15,800,4,215,215,200,100,900,14.0991906484123,2.64383461279795,-0.104151217266917,-0.000130189021583647,-100,1200,125,0.15625
16,800,4,216,216,200,100,900,9.2233426484745,3.96692552883178,-3.09438289701939,-0.00386797862127423,-100,1200,125,0.15625
17,800,4,217,217,200,100,900,3.57508643926121,2.67302572738845,1.11625937744975,0.00139532422181219,-100,1200,125,0.15625
18,800,4,218,218,200,100,900,3.8418758448679,0.969143959344365,-2.04133084975183,-0.00255166356218979,-100,1200,125,0.15625
19,800,4,219,219,200,100,900,3.90315671940334,0.504030889831483,-3.14638153836131,-0.00393297692295164,-100,1200,125,0.15625
20,800,4,220,220,200,100,900,6.51048282091506,0.595736981136724,0.938949380069971,0.00117368672508746,-100,1200,125,0.15625
21,800,4,221,221,200,100,900,2.91690690349787,1.15982863749377,-0.134357709437609,-0.000167947136797011,-100,1200,125,0.15625
22,800,4,222,222,200,100,900,10.1750616044737,1.87354157469235,0.758783627301455,0.000948479534126818,-100,1200,125,0.15625
23,800,4,223,223,200,100,900,3.51253892830573,3.94538452965207,0.0693794842809439,8.67243553511798e-05,-100,1200,125,0.15625
24,800,4,224,224,200,100,900,11.6622632551007,2.80576244939584,1.85266563855112,0.0023158320481889,-100,1200,125,0.15625
25,800,4,225,225,200,100,900,6.73106158734299,2.52626424538903,3.14230218529701,0.00392787773162127,-100,1200,125,0.15625
