ID,Site_name,Start_date,End_date,Value
285,Site B,500,850,24.7
286,Site C,175,375,19
287,Site C,400,600,20.8
288,Site A,550,575,16.8
289,Site A,100,625,12
290,Site A,500,674,14
291,Site C,175,675,13.6
292,Site B,700,850,12.7
293,Site A,125,175,18.5
294,Site C,700,749,9
295,Site D,600,774,19.3
296,Site D,275,449,19.3
297,Site C,150,724,9
298,Site A,400,550,18.2
299,Site A,125,325,27.2
300,Site D,650,699,12.2
301,Site A,175,374,19.2
302,Site D,300,725,11.1
303,Site B,350,649,20.6
304,Site D,325,474,16.2
305,Site A,425,500,23.3
306,Site A,100,525,7.7
307,Site B,100,125,14.7
308,Site C,425,500,12.4
309,Site A,575,600,14
310,Site B,600,825,11.9
311,Site B,350,450,10.8
312,Site B,300,650,17.9
313,Site B,550,624,9.6
314,Site D,200,475,22.4
315,Site C,600,825,9.1
316,Site B,125,449,15.5
317,Site C,300,499,17.7
318,Site B,150,450,17.9
319,Site A,675,775,13.5
320,Site A,375,649,15.4
321,Site C,125,224,19.8
322,Site C,675,725,7.7
323,Site A,475,600,11.1
324,Site B,525,724,16.6
325,Site A,625,775,12.8
326,Site B,500,675,21.9
327,Site A,575,674,18.4
328,Site B,275,425,15.4
329,Site D,275,550,7.5
330,Site A,550,574,15.1
331,Site C,450,575,13.4
332,Site D,700,800,14.5
333,Site B,225,649,9.1
334,Site C,150,474,17.5
335,Site B,100,275,9.8
336,Site B,450,475,13.9
337,Site B,175,499,16.9
338,Site D,300,600,11.1
339,Site D,100,175,17.9
340,Site C,350,574,8.4
341,Site A,225,850,1
342,Site C,575,825,17.3
343,Site A,425,525,19.2
344,Site C,300,525,13.6
345,Site B,675,725,17.5
346,Site A,225,450,9.2
347,Site B,375,774,14.4
348,Site D,625,725,5.3
349,Site B,500,575,20.9
350,Site B,350,675,24.3
351,Site A,300,475,20.4
352,Site C,525,624,14.9
353,Site D,350,475,14.8
354,Site B,550,625,7.4
355,Site B,100,550,19
356,Site A,350,649,13.9
357,Site C,500,549,11.7
358,Site C,500,675,7.9
359,Site B,275,525,13.5
360,Site C,350,549,10.8
361,Site A,525,825,13
362,Site C,100,375,8.9
363,Site C,650,824,23.4
364,Site D,225,525,14.9
365,Site A,125,225,20.4
366,Site D,425,674,2
367,Site B,200,500,12.7
368,Site B,100,375,11.6
369,Site A,700,750,8.9
370,Site B,650,700,22.7
371,Site C,525,650,7.9
372,Site A,175,275,16.6
373,Site B,450,624,19.2
374,Site C,250,700,15.9
375,Site A,425,575,10.6
376,Site D,325,624,19.7
377,Site A,150,474,15.9
378,Site B,250,600,9.7
379,Site C,200,750,8.1
380,Site A,675,699,25.4
381,Site B,225,375,11.6
382,Site D,200,549,5.7
383,Site B,600,775,17.7
384,Site C,525,599,16.6
385,Site C,300,450,8.2
386,Site B,150,299,5.3
387,Site D,150,225,14.4
388,Site A,300,350,20.7
389,Site C,400,725,18.2
390,Site B,250,550,12.5
391,Site A,325,349,10.8
392,Site A,500,675,16.4
393,Site A,125,224,15.8
394,Site B,575,674,18.1
395,Site C,500,825,13
396,Site B,375,525,19.5
397,Site C,675,750,10.8
398,Site B,675,800,13.3
399,Site C,225,300,18.7
400,Site C,625,824,19.9
401,Site D,550,574,5.3
402,Site D,325,500,15.5
403,Site D,475,649,18
404,Site A,100,275,7.7
405,Site D,325,700,17.4
406,Site B,250,450,10.9
407,Site D,700,724,20.1
408,Site A,675,700,17.7
409,Site D,125,225,18.8
410,Site C,175,349,15.6
411,Site B,575,800,19.3
412,Site A,275,599,21.9
413,Site C,450,675,24.8
414,Site B,425,500,14.9
415,Site D,500,550,3.8
416,Site A,200,475,15.2
417,Site A,500,599,16
418,Site D,500,700,14.2
419,Site A,475,550,17.8
420,Site D,575,650,20.1
421,Site B,700,900,12.4
422,Site B,225,625,13.5
423,Site D,150,450,17
424,Site D,425,575,12.2
425,Site A,300,649,15.5
426,Site C,675,750,5.2
427,Site D,375,900,9.4
428,Site A,650,675,8.4
429,Site C,300,575,10.7
430,Site D,675,774,11.5
431,Site B,425,799,16.9
432,Site C,150,475,19.9
433,Site A,175,450,11.4
434,Site B,150,299,10
435,Site B,250,625,9.8
436,Site B,100,475,12.9
437,Site B,675,750,13.8
438,Site D,200,775,17.4
439,Site C,625,725,13.4
440,Site A,175,300,4.6
441,Site C,275,525,14.5
442,Site A,375,650,20.9
443,Site D,375,574,21
444,Site C,375,700,11.1
445,Site A,450,649,7.3
446,Site B,300,424,27.3
447,Site B,675,749,14.2
448,Site C,150,300,14.5
449,Site C,150,525,17.1
450,Site D,300,524,6.9
451,Site B,250,325,11.4
452,Site A,650,725,7.3
453,Site D,375,525,11.5
454,Site B,400,550,15.6
455,Site A,500,575,8.2
456,Site C,450,674,17.9
457,Site C,450,599,16.4
458,Site B,575,674,10.5
459,Site C,150,275,16.1
460,Site C,400,700,18.7
461,Site B,550,599,20.3
462,Site A,125,200,13.9
463,Site D,625,725,14.5
464,Site B,200,575,14.6
465,Site B,300,375,22.2
466,Site C,525,700,20.6
467,Site A,100,825,19.2
468,Site B,175,449,13.6
469,Site C,525,600,16.9
470,Site B,200,524,17
471,Site A,150,325,9.8
472,Site B,325,474,6.4
473,Site B,675,900,18.2
474,Site A,700,724,7.4
475,Site A,250,649,15
476,Site B,425,750,16.3
477,Site C,325,650,17.8
478,Site C,650,800,15.9
479,Site B,325,750,11.3
480,Site D,600,699,19.9
481,Site B,300,750,23.7
482,Site B,250,749,19.4
483,Site D,225,475,5.3
484,Site A,575,599,22
485,Site B,275,649,14.7
486,Site A,675,800,17.6
487,Site C,200,500,18.1
488,Site A,550,674,14.5
489,Site B,575,725,14.6
490,Site D,350,574,20.1
491,Site B,500,624,18.6
492,Site C,250,575,20
493,Site D,675,750,26.9
494,Site C,325,674,18.3
495,Site B,375,700,16
496,Site D,625,724,3.9
497,Site A,175,475,28.5
498,Site B,575,900,12.6
499,Site B,150,649,26.9
500,Site C,100,374,16.9
