ID,Site_name,Start_date,End_date,Value
119,Site A,375,650,17.9
120,Site B,325,575,20.2
121,Site C,300,575,22.1
122,Site D,550,650,17.2
123,Site D,450,475,21.7
124,Site B,425,575,15.8
125,Site D,650,825,11.6
126,Site A,150,649,18.1
127,Site A,625,700,12.3
128,Site D,575,750,12.1
129,Site A,325,625,20.9
130,Site A,125,424,13.6
131,Site A,650,700,7.2
132,Site B,500,674,17.3
133,Site C,525,624,17.1
134,Site A,550,724,12.3
135,Site B,425,575,19.6
136,Site D,500,774,13.3
137,Site D,325,449,19.4
138,Site A,200,574,23
139,Site C,400,699,16.8
140,Site B,525,725,14
141,Site A,550,800,14.3
142,Site A,550,675,16.8
143,Site B,325,525,22.7
144,Site A,475,550,17.4
145,Site A,125,449,19.2
146,Site C,175,575,18.6
147,Site D,700,750,14.5
148,Site B,250,475,14.5
149,Site C,100,375,11.9
150,Site B,425,799,17.4
151,Site B,575,674,11.8
152,Site D,625,725,9.5
153,Site A,550,650,12.5
154,Site C,375,550,17.3
155,Site A,550,650,13.7
156,Site A,225,375,15.7
157,Site A,375,550,14.9
158,Site C,700,750,10.3
159,Site C,325,425,21.5
160,Site D,250,600,24.9
161,Site A,550,700,16.8
162,Site B,700,725,12
163,Site B,125,700,15.3
164,Site C,225,450,15.2
165,Site B,300,350,15.2
166,Site D,675,700,12.7
167,Site C,350,549,19.7
168,Site C,225,575,16.1
169,Site B,200,325,17.2
170,Site A,425,575,21.6
171,Site D,325,575,20.6
172,Site A,450,650,20.4
173,Site D,100,599,14
174,Site B,300,474,20.5
175,Site A,325,624,18.5
176,Site B,500,750,15.3
177,Site C,375,600,19.4
178,Site B,625,750,12.5
179,Site B,100,549,19.4
180,Site D,350,550,20
181,Site B,700,799,11.8
182,Site B,175,700,17
183,Site B,150,499,14.3
184,Site C,600,825,13.9
185,Site B,225,800,19.8
186,Site D,200,600,14.1
187,Site D,325,575,16.6
188,Site C,575,675,13.1
189,Site B,125,324,13.5
190,Site B,650,674,11.6
191,Site C,175,450,17
192,Site D,700,775,11.9
193,Site B,700,799,13.5
194,Site D,575,725,12.6
195,Site D,300,674,19.5
196,Site B,425,450,15.6
197,Site A,425,600,19.1
198,Site A,150,624,17.4
199,Site B,525,700,11.8
200,Site D,325,650,19.1
201,Site D,100,350,13.9
202,Site B,275,399,11.7
203,Site A,575,800,9.9
204,Site D,600,650,13.9
205,Site C,200,700,17.8
206,Site A,225,624,20.6
207,Site B,425,500,21
208,Site B,175,625,19.2
209,Site B,300,725,12.7
210,Site D,275,525,25.7
211,Site B,650,750,10
212,Site C,475,625,19
213,Site D,375,700,18.6
214,Site C,325,374,19.9
215,Site B,425,550,21.6
216,Site A,650,774,9.6
217,Site D,350,650,20.2
218,Site B,650,775,7.8
219,Site A,625,749,13.1
220,Site B,700,849,7.7
221,Site A,125,300,17
222,Site A,475,624,13.2
223,Site A,425,699,15.6
224,Site C,700,724,12.2
225,Site B,450,600,19.7
226,Site B,500,650,14.6
227,Site D,225,375,12.3
228,Site B,650,725,11.3
229,Site A,550,724,13
230,Site A,325,749,13.5
231,Site C,400,525,20
232,Site B,225,500,18.4
233,Site B,100,250,10.2
234,Site C,350,525,17.3
235,Site C,400,625,20.1
236,Site A,325,475,22.7
237,Site C,400,775,16.6
238,Site D,450,774,11.4
239,Site B,500,550,17.3
240,Site D,450,499,20.7
241,Site A,275,900,13.9
242,Site C,175,299,6.5
243,Site C,225,500,20.1
244,Site B,325,550,17.9
245,Site D,575,775,10
246,Site D,675,874,12.6
247,Site D,700,875,6.8
248,Site C,675,749,12.3
249,Site A,475,699,12.4
250,Site A,375,399,18
251,Site A,475,600,17.7
252,Site B,550,700,10.7
253,Site A,150,375,11.4
254,Site C,675,725,10.4
255,Site B,600,750,13.1
256,Site D,250,749,15.2
257,Site C,150,675,18.7
258,Site A,325,750,19.8
259,Site A,600,625,12.9
260,Site D,325,549,20.5
261,Site A,250,474,19.1
262,Site A,550,699,14.3
263,Site A,400,599,20.9
264,Site D,325,374,17
265,Site B,650,775,9.1
266,Site C,425,525,13.2
267,Site D,675,750,9.9
268,Site C,675,775,10.9
269,Site D,350,675,20.2
270,Site C,400,625,17.5
271,Site A,150,424,18.6
272,Site A,325,400,18.6
273,Site D,550,725,13.3
274,Site A,125,375,15.6
275,Site B,250,549,17.5
276,Site C,575,649,13.1
277,Site D,600,674,19
278,Site C,600,775,11
279,Site A,350,600,23.9
280,Site C,350,650,15.7
281,Site D,100,224,9
282,Site B,600,625,15.1
283,Site C,225,600,20.3
284,Site D,650,800,7.3
285,Site B,325,600,20
286,Site C,300,375,14.1
287,Site C,375,550,21.7
288,Site A,400,725,19.5
289,Site A,525,650,9.9
290,Site A,450,749,18
291,Site C,600,700,9.3
292,Site B,100,425,14.1
293,Site A,350,400,20.1
294,Site C,275,524,18.8
295,Site D,400,624,17.3
296,Site D,425,524,20.2
297,Site C,125,249,11.2
298,Site A,225,575,21.5
299,Site A,400,575,14.5
300,Site D,150,449,10.7
