ID,Site_name,Start_date,End_date,True_date,Value
161,Site A,550,700,625.3449344891123,16.8
162,Site B,700,725,708.8476142962463,12.1
163,Site B,125,700,498.7414663191885,15
164,Site C,225,450,309.31064023752697,13.8
165,Site B,300,350,317.7722690394148,14.9
166,Site D,675,700,688.3421986363828,12.7
167,Site C,350,549,497.32653771853074,19.1
168,Site C,225,575,302.3860282381065,11.8
169,Site B,200,325,251.59326482680626,16.7
170,Site A,425,575,464.85300302738324,22.2
171,Site D,325,575,482.49326336663216,20.3
172,Site A,450,650,486.7656981572509,22.6
173,Site D,100,599,530.9584116064943,14.8
174,Site B,300,474,429.9028327194974,21.5
175,Site A,325,624,524.817110268632,17.1
176,Site B,500,750,654.504468315281,13.9
177,Site C,375,600,458.7535635509994,19.8
178,Site B,625,750,691.2294607318472,12.4
179,Site B,100,549,492.7323719470296,22.8
180,Site D,350,550,466.3500199560076,19.9
181,Site B,700,799,783.137008714024,11.3
182,Site B,175,700,339.03528657974675,13.8
183,Site B,150,499,397.1933224541135,17.4
184,Site C,600,825,659.6290063695051,15.8
185,Site B,225,800,566.7473365727346,17.5
186,Site D,200,600,392.51592019572854,13.9
187,Site D,325,575,391.2581828655675,15.6
188,Site C,575,675,631.4590434776619,12.8
189,Site B,125,324,306.72445638268255,17.3
190,Site B,650,674,671.6449853479862,11.3
191,Site C,175,450,250.3958209126722,14
192,Site D,700,775,724.1112067305949,12.2
193,Site B,700,799,797.5784475533292,12.8
194,Site D,575,725,667.9989965283312,11.8
195,Site D,300,674,650.5554693439044,12.3
196,Site B,425,450,436.6633175581228,15.6
197,Site A,425,600,496.19570382055826,19.6
198,Site A,150,624,462.47517367405817,18.5
199,Site B,525,700,551.6606579476502,14.8
200,Site D,325,650,511.1817939206958,18.5
201,Site D,100,350,159.68150671105832,12
202,Site B,275,399,394.33250811789185,14.1
203,Site A,575,800,710.3072883444838,9.1
204,Site D,600,650,625.7514863624237,13.8
205,Site C,200,700,401.28667110111564,17.1
206,Site A,225,624,576.2183699507732,16.9
207,Site B,425,500,452.30688985902816,21
208,Site B,175,625,304.70767631195486,15
209,Site B,300,725,372.5242249201983,12.2
210,Site D,275,525,318.0429365951568,22.2
211,Site B,650,750,698.204260552302,10.1
212,Site C,475,625,512.9447392770089,20.5
213,Site D,375,700,445.28280662489124,20.7
214,Site C,325,374,358.0444430159405,20.3
215,Site B,425,550,430.9579534281511,21.9
216,Site A,650,774,736.9057828467339,9
217,Site D,350,650,455.5665915366262,20.9
218,Site B,650,775,701.1179997411091,8.1
219,Site A,625,749,726.7979641705751,11.9
220,Site B,700,849,836.9097448745742,7.1
221,Site A,125,300,174.44245776860043,15.8
222,Site A,475,624,618.2046142623294,9.8
223,Site A,425,699,624.5800733454525,12.4
224,Site C,700,724,716.4730019681156,12.1
225,Site B,450,600,457.92659141588956,21.3
226,Site B,500,650,559.2830201960169,15.4
227,Site D,225,375,296.6768069774844,12.2
228,Site B,650,725,692.0189947762992,11.1
229,Site A,550,724,671.497517506592,11.5
230,Site A,325,749,713.2498202901334,5.6
231,Site C,400,525,477.29390342137776,19.9
232,Site B,225,500,342.81591490725987,17.5
233,Site B,100,250,181.31205508252606,10.4
234,Site C,350,525,360.2337355026975,15.2
235,Site C,400,625,458.6927928379737,21.2
236,Site A,325,475,384.57279299618676,22.2
237,Site C,400,775,474.15427625528537,21
238,Site D,450,774,719.5445303572342,7.1
239,Site B,500,550,507.6443611411378,18
240,Site D,450,499,489.36750855925493,20.4
241,Site A,275,900,616.7663478467148,12.4
242,Site C,175,299,257.1273876093328,7.3
243,Site C,225,500,272.2170858178288,15.7
244,Site B,325,550,467.4374559603166,17.8
245,Site D,575,775,637.3739493545145,11.6
246,Site D,675,874,819.1863149353303,12.2
247,Site D,700,875,769.814469316043,7
248,Site C,675,749,746.7323744241148,11.4
249,Site A,475,699,691.6972350180149,7.6
250,Site A,375,399,392.4408609364182,18.2
251,Site A,475,600,507.1520933066495,18.9
252,Site B,550,700,583.2681901985779,12.8
253,Site A,150,375,283.4352716279682,12.4
254,Site C,675,725,688.3760716067627,10.8
255,Site B,600,750,679.6605598297901,12.9
256,Site D,250,749,641.8605439723469,8.7
257,Site C,150,675,238.23192553245462,11
258,Site A,325,750,496.86965193250217,21.2
259,Site A,600,625,611.7894069408067,12.9
260,Site D,325,549,519.4559247419238,19.2
261,Site A,250,474,457.3585821092129,21.2
262,Site A,550,699,681.4146563357208,11.8
263,Site A,400,599,534.1631816606969,19.7
264,Site D,325,374,371.5581819876097,18
265,Site B,650,775,714.5556117815431,9.1
266,Site C,425,525,482.65190212987363,13.1
267,Site D,675,750,700.2248404431157,10.3
268,Site C,675,775,709.732463140972,11.3
269,Site D,350,675,356.507897679694,19
270,Site C,400,625,513.1329352676403,17.5
271,Site A,150,424,388.6658953386359,23.4
272,Site A,325,400,325.47255879617296,16.9
273,Site D,550,725,562.6099966990296,17.1
274,Site A,125,375,166.05280624935403,12.8
275,Site B,250,549,480.32988820783794,17.9
276,Site C,575,649,629.4036386301741,12.2
277,Site D,600,674,671.9187970398925,17.5
278,Site C,600,775,681.6326659463812,11.2
279,Site A,350,600,368.596128327772,22.3
280,Site C,350,650,544.6454372955486,14
281,Site D,100,224,194.06555301882327,9.9
282,Site B,600,625,603.4276520251296,15.6
283,Site C,225,600,373.7192229833454,19.1
284,Site D,650,800,683.7477993802167,8.5
285,Site B,325,600,340.9386041457765,17
286,Site C,300,375,329.69195162295364,13.7
287,Site C,375,550,386.36245249654166,20.6
288,Site A,400,725,473.41309069888666,22.5
289,Site A,525,650,531.8286386376712,12.6
290,Site A,450,749,650.414329827996,15.5
291,Site C,600,700,629.7741782618687,10.2
292,Site B,100,425,132.73451424902305,10.1
293,Site A,350,400,353.5952048609033,19.2
294,Site C,275,524,494.2297016272787,18.9
295,Site D,400,624,568.9514180645347,14.8
296,Site D,425,524,505.84398287325166,19.5
297,Site C,125,249,246.785406335257,13.4
298,Site A,225,575,261.2598757375963,15.1
299,Site A,400,575,417.33232013648376,14.6
300,Site D,150,449,388.850651740795,14.8
